page,product_name,star,title,review,skin_type,brand_name,category,processed_review,star_numeric,sales_ranking,collabo
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,더운 날씨에 운동할때 사용하는데 너무 좋아요 근데뛰다가 보면 떨어져서 아쉽긴 하지만 효과는 최고입니다,['복합성'],식물나라,sunpatch,"['날씨', '운동', '효과', '최고']",5,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,생각보다 크기가 적은 느낌이 없잖아 있는데 사용해보고 확실한 후기 올리겠습니다 자외선 차단 확실히 됫으면 좋겠어요,"['복합성', '쿨톤', '각질', '다크서클']",식물나라,sunpatch,"['생각', '크기', '느낌', '자외선', '차단']",4,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,"주말농장하고있어서 주말마다 땡볕에 밭일하러 가는데ㅎㅎ아무리 큰모자쓰고 해도얼굴이 벌겋게 익더라구요.이러다 기미올라오는건 순식간이겠다 싶어서 구매했는데넘 좋아요.붙이는순간 시원하고, 뭔가 안심돼요ㅎ선크림. 모자  이것까지 하니 마음편함","['복합성', '웜톤', '모공', '잡티']",식물나라,sunpatch,"['주말', '농장', '주말', '땡볕', '밭일', '모자', '해도', '얼굴', '기미', '순식간', '데넘', '순간', '안심', '선크림', '모자', '마음']",5,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,햇빛을 많이 받으면 선크림을 발라도 잡티가 생겨서 선패치를 사용합니다.놀러갈 때나 야외에 오랜시간 있어야 할 때 붙이면 자외선을 차단할 수 있어 잡티 걱정 덜하게 됩니다.햇빛을 차단하니 얼굴에 열감이 생기지 않아 시원한 느낌이 듭니다.,"['건성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['햇빛', '선크림', '발라', '잡티', '야외', '시간', '자외선', '차단', '잡티', '걱정', '햇빛', '차단', '얼굴', '열감', '느낌']",5,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,여름철 야외활동이 많아지다보니 자외선차단을이중으로 막고자 구매한 제품입니다!패치를 발랐지만 기본적으로 선크림을 일단 도포해서발라서 사용해주었고 처음에는 밀착력이 좋았지만땀때문에 그런지 살짝 뜨고 떨어지고 있더라구요🥲다소 아쉽기는 했지만 면적이 넓고 커서 사용하기는편리하고 좋았습니다💛,"['건성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['여름철', '야외', '활동', '자외선', '차단', '이중', '니다', '기본', '선크림', '도포', '해서', '발라', '처음', '밀착력', '땀', '그런지', '면적', '커서', '편리']",4,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,사이즈가 좀더 커서 커버가 많이 되면 더 좋을꺼 같아요. 자극없고 무난하게 사용할수 있어요.,"['민감성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['사이즈', '커서', '커버', '자극', '무난']",4,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,선크림을 바르고 나가도 햇빛을 받으면 얼굴에 잡티가 생겨서 신경쓰입니다.그래서 오래 밖에 있거나 놀러갈 때는 선패치를 붙입니다.눈밑에 광대부분을 가려주니 잡티걱정 덜하게 되어 편합니다.피부에 닿는 느낌도 시원해서 좋습니다.,"['건성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['선크림', '햇빛', '얼굴', '잡티', '신경', '밖', '눈밑', '광대', '부분', '잡티', '걱정', '피부', '느낌']",5,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,🩵이 제품이 물에 들어가도 떨어지지 않는다고 해서 구매했어요.이번에 물놀이 갔을 때 부착하고 갔었어야하는데사진에 예쁘게 나오려고 선패치 안붙이고 놀다가기미 주근깨 왕창 생김🩵여러분….. 선패치 꼭 붙이세요!!!!💟저의 리뷰가 도움되셨다면 👍 꾸욱 부탁드려요저의 다른 리뷰들도 구경하러 오세요득템을 도와드릴게요💗,"['약건성', '겨울쿨톤', '모공', '주름']",식물나라,sunpatch,"['물', '이번', '물놀이', '부착', '사진', '기미', '주근깨', '왕창', '여러분', '리뷰', '도움', '부탁', '리뷰', '구경']",5,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,"차갑고 ? 시원하니 좋고 자극없이 때어져서 좋아요. 이전 여름 휴가때 해를 많이 보는날 사용했는데 기미 있는 볼쪽 피부가 안전해 지는 느낌이 참으로 좋더라구요! ㅎㅎ 야외활동 하는날 또 사용하려고 하는데, 사진 찍으면 웃기고, 애들이 싫어하네요 ; ㅎㅎㅎ","['건성', '여름쿨톤', '미백', '민감성']",식물나라,sunpatch,"['자극', '이전', '여름', '휴가', '해', '기미', '피부', '안전', '느낌', '야외', '활동', '사진', '애들']",4,1,0
2,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,"야외 활동 오래 해야할 때 일단 살고 보자고 구매한 아이템입니다~ 골프하시는 분들 사이에서는 많이 쓰고 계시더라구요!식물나라 선크림이랑 샤워 시트도 쓰고 있는데 여름에 활동량이 많으신 분들에게 자극없이 휘뚜루마뚜루 근데 능력도 출중한. 아이템 찾고 있다면 이 템을 비롯 식물나라 거 써보시길 추천드립니다,,, 좋은데 순해요 그래서 좋아요","['건성', '여름쿨톤', '모공', '민감성']",식물나라,sunpatch,"['야외', '활동', '아이템', '골프', '사이에서', '시더', '라구', '식물나라', '선크림', '이랑', '샤워', '시트', '여름', '활동량', '자극', '능력', '아이템', '식물나라', '추천', '순해요']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,얼굴이 작은편이라 많이 커버가 돼서 저는 아주 만족했어요하지만 얼굴 큰 가족은 왜 자긴 이거 밖에 커버거 안되냐며...ㅋㅋ스킨케어 마무리 후 흡수되길 기다렸다가 외출직전에 붙이고 다른부위는 선스틱으로 슥슥 바르고 나가요. 골프장말고 평상시 외출에 붙이고 나가면 사람들이 조금 쳐다보긴 하지만....ㅎㅎ,"['복합성', '웜톤', '미백', '블랙헤드']",식물나라,sunpatch,"['얼굴', '커버', '만족', '얼굴', '가족', '밖', '커버', '스킨', '케어', '마무리', '흡수', '외출', '직전', '부위', '선스틱', '골프', '장', '평상시', '외출', '사람']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,저는 밖에 나갈때 쓰지는 않고 집에서 써요. 선크림 안 바르고 집에서 햇빛 받고 있을때도 있어서 그때 쓰는데 너무 편해요,[],식물나라,sunpatch,"['밖', '선크림', '햇빛', '그때', '편해']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,1회분씩 따로 포장되있지않아 휴대하기 조금 불편한거말곤 가성비 넘좋네요,[],식물나라,sunpatch,"['포장', '휴대', '불편', '가성비']",4,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,바닷가갈때 주근깨 걱정되서 샀는데쿨링이 생각보다 오래가더라구요!얼굴 열도 내려주고 햇빛도 가려줘서 꿀템!근데 물닿으니 바로 떼지는거같긴해요ㅋㅋㅋㅋ골프용인듯,"['건성', '겨울쿨톤', '다크서클']",식물나라,sunpatch,"['바닷가', '주근깨', '걱정', '쿨링', '생각', '얼굴', '열도', '햇빛', '물', '골프', '용인']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,야외노가다할때좋아요 ㅜㅜ쿨링감이좋아요!! 짱시원해요,"['건성', '쿨톤', '각질', '모공']",식물나라,sunpatch,"['야외', '노가다', '쿨링감', '시원']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,베트남여행가서 쓰려고 샀어요 햇빛 강할 때 붙이고 다니면 너무 좋아요,[],식물나라,sunpatch,"['베트남', '여행', '햇빛']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,나쁘지 않은 접착력을 지니고 있습니다.필요한 부위를 붙이기에 적당한 크기입니다.붙이고 나서는 약간의 쿨링감을 느낄 수 있습니다.,[],식물나라,sunpatch,"['접착력', '필요', '부위', '크기', '약간', '쿨링감']",4,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,테니스 칠때 쓰려고 샀어요붙이자마자 따끔따끔한 느낌은 쿨링감 성분 때문일까요...?붙이는 쪽이 겔패치 느낌이라 전혀 자극없고요격하게 뛰어다니면 조금 테두리 떼지긴하는데 손으로 가끔 눌러주면 돼요아직 잘 모르겠는데 탔는지 안 탔는지는 몇시간 지나봐야 알 거 같아요재구매의사 있어요,[],식물나라,sunpatch,"['테니스', '느낌', '쿨링감', '성분', '느낌', '자극', '요격', '테두리', '손', '시간', '재구매의사']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,가격면에서도 부담스럽지않고 적당하고 장시간붙여도 떨어지지않고 잘붙어있어요,[],식물나라,sunpatch,"['가격', '부담', '장시간']",5,1,0
3,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 3점,,사이즈 넉넉하구들뜸이 살짝 있네용.... 그 부분만 빼면 만족~합니더,[],식물나라,sunpatch,"['사이즈', '부분', '만족']",3,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,좋아요 자외선 차단에 꼭 필수예요^^ 요즘같은 날씨엔 꼬옥 필요,[],식물나라,sunpatch,"['자외선', '차단', '수예', '요즘', '날씨', '필요']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,"이미. 4세트 구매후, 친구들한테 뿌렸는데,초특가 세일 하길래...5세트 더 구매확정 합니다.인터넷. 선패치 중에서...이만한 가성비템 없어요!넓직해서 더 좋네요.가을 라운딩 갈때도, 붙붙!",[],식물나라,sunpatch,"['세트', '친구', '특가', '세일', '세트', '확정', '인터넷', '이만', '가을', '라운딩']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,여행가서 진짜 잘썼네요~  👍 👍  가성비 좋아요^^  ~~~,[],식물나라,sunpatch,"['여행', '가성비']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,요것 붙이면 밖에 나가는게 두렵지않아요. 시원함도 느낄수 있어요.,[],식물나라,sunpatch,['밖'],5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,"자극은 약간 있구,잘 안쓰던 식물나라 제품이지만...식물나라. 초특가. 선패치.여러세트. 구입하면서,같이 주문해봤어요.예상보다는 순합니다.하지만, 가성비는 좀 별루... ^^",[],식물나라,sunpatch,"['자극', '식물나라', '식물나라', '세트', '구입', '주문', '예상', '하지', '가성비']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,잘 안떨어지고 야외활동할때 쓰기 좋아요 썬크림위에 잘쓰고있어요,"['지성', '웜톤', '모공', '민감성']",식물나라,sunpatch,"['야외', '활동', '쓰기 좋아요', '썬크림']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,여행 가서 잘 사용하고 왔습니다. 물 젖으면 바로 떨어지긴 해요,"['지성', '봄웜톤', '모공', '블랙헤드']",식물나라,sunpatch,['여행'],5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,다른제품 들보다 저렴해서 막쓰기 좋아요 파스같은 쿨링감이 살짝 있어요 그리고 엄청 넓어서 얼굴 면적이 아주 많이 가려집니다,"['건성', '웜톤', '모공', '주름']",식물나라,sunpatch,"['쓰기 좋아요', '파스', '쿨링감', '얼굴', '면적']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,이 제품은 처음인데 파스같은 쿨링감이 살짝 있어요 그리고 엄청 넓어서 얼굴 면적이 아주 많이 가려집니다,"['건성', '웜톤', '모공', '주름']",식물나라,sunpatch,"['처음', '파스', '쿨링감', '얼굴', '면적']",5,1,0
4,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 2점,,아웃도어 선패치 사용할만큼 외부활동이 없어서...전 걍선크림 바르는게 더 편해요,"['건성', '봄웜톤', '민감성', '트러블']",식물나라,sunpatch,"['아웃', '도어', '외부', '활동', '편해']",2,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,골프칠때 여러브랜드 사용해봤는데.. 제겐 이 제품이 잘 맞네요. 일단 쿨링감도 좋고 사이즈도 커서 커버부위가 넓고 무엇보다 접찹력이 좋아서 오래 떨어지지않네요~~ 재구매했습니다.,[],식물나라,sunpatch,"['골프', '브랜드', '쿨링감', '사이즈', '커서', '커버', '부위', '좋아서', '재구매']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,선물받아서 써 봤는데.. 좋아서 올영가서 바로 추가 구매했어요,[],식물나라,sunpatch,"['선물', '좋아서', '올영', '추가']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,골프할때 쓰라고 미국에 있는 사촌에게 선물했더니 K뷰티 최고라고 칭찬 받았네요 ㅎㅎ,[],식물나라,sunpatch,"['골프', '미국', '사촌', '선물', '뷰티', '최고', '칭찬']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,야외에서 활동량이 많아서 구매하게되었는데 생각보다 가장자리 부분이 부족하고 싸이즈가 여러종류면 좋을 것 같네요.  사용설명서에도 써져있지만 썬크림을 충분히 흡수하지 못한 채 바르면 살짝 떠서 오래 붙일 수가 없었어요.,[],식물나라,sunpatch,"['야외', '활동량', '생각', '가장자리', '부분', '부족', '이즈', '종류', '설명서', '썬크림', '흡수']",4,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,사용하고 피부를 보니까 보습이 되는건지 보드랍긴 합니다.햇볕 예방차 휴가때 한번 붙여봤어요.,[],식물나라,sunpatch,"['피부', '보습', '건지', '햇볕', '예방', '휴가']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,요즘 햇여치 너무 뜨거워서 자주 이용하는 아이템~~~~~,[],식물나라,sunpatch,"['요즘', '해', '여치', '이용', '아이템']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,야외활동시에 편하게 붙일 수 있어서 좋습니다 햇빛차단 잘 됩니다,[],식물나라,sunpatch,"['야외', '활동', '햇빛', '차단']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,골프갈때 잘썼어요 엄마가 좋아하셨어요 ㅎㅎ감사해요~~~,[],식물나라,sunpatch,"['골프', '엄마', '감사']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,자외선 강할때 붙이면 시원하면서도 피부의 열을 내려주어서요즘 애용하는데요좀 더 큰 사이즈로 양 볼이 다 가려지면 더 좋을것같네요ㅎ앞으로도 한달은 더 애용할듯요~!!!,[],식물나라,sunpatch,"['자외선', '피부', '요즘', '애용', '사이즈', '볼', '앞', '한달', '애용']",5,1,0
5,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,필드 나갈때 사용하려고 쟁였는데요여름 햇빛이 넘 쎄서 가끔씩 낮에 외출용으로 사용하는데도움되고 좋네요~!!!한 낮엔 넘 덥고 피부 생각함 꼭 붙여줘얄것 같네요^^,[],식물나라,sunpatch,"['필드', '햇빛', '외출', '도움', '피부', '생각']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,5세트 들어 있어요. 이런 패치 처음 써 봤는데 자외선 차단도 차단이겠지만 쿨링감이 정말 좋아요. 여름 등산 필수 템입니다. 그리고 이게 가로세로 9cm 라서 민낯 가리기도 딱입니다. 하하.,[],식물나라,sunpatch,"['세트', '처음', '자외선', '차단', '차단', '쿨링감', '여름', '등산', '필수', '가로세로', '민낯']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,잠깐 외출하는데 선크림 바르기 귀찮을때이거 붙이고 마스크랑 같이 사용해보려고구매했어요~(이것만 붙이고 외출못함^^;마스크로가려줘야 나갈수 있을듯요...)요즘 투명선패치도 나오던데...식물나라도 투명선패치 나오면 좋겠어요.,['지성'],식물나라,sunpatch,"['외출', '선크림', '이거', '마스크', '외출', '마스크', '요즘', '투명', '식물나라', '투명']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,여름 자외선 심한 시기에 필수템입니다다소 민망한 부분도 있지만 피부 타는 것보다는 나아요,"['건성', '웜톤', '다크서클', '모공']",식물나라,sunpatch,"['여름', '자외선', '시기', '필수템', '부분', '피부']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,젛아요바닷가 갈때쓰려고 샀어요가격대비 혜자라 조아요 세일짱,"['복합성', '웜톤', '잡티']",식물나라,sunpatch,"['가격', '대비', '혜자', '세일']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,좋아요! 할인할때마다 사서 쟁여 쓰고 있어요 세일하면 또 사려구여 추천함,"['복합성', '웜톤', '민감성', '블랙헤드']",식물나라,sunpatch,"['할인', '사서', '세일', '하면', '추천']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,베트남 여핼 가기 전에 구매햏어요 베트남 너무 더웠는데 이거 얼굴에 붙이니까 시원하고 좊았어요 근데 접착력이 좀 어쉽네여ㅠ,"['지성', '가을웜톤', '각질', '민감성']",식물나라,sunpatch,"['베트남', '베트남', '얼굴', '접착력']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,바닷가 놀러가서 사용할려고 구입했어요  좋았으몀 좋겠어요,"['복합성', '웜톤', '민감성', '블랙헤드']",식물나라,sunpatch,"['바닷가', '구입']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,우리 엄마 여릅 필수템 생각뷰다 크기 낙낙하고 좋아요 햇빛 뜨거운 날 엄마 사드리면 아주아주 좋아하심 식물나라거는 처음인데 저렴하고 좋앗어용,"['건성', '봄웜톤']",식물나라,sunpatch,"['엄마', '필수템', '크기', '낙하', '햇빛', '엄마', '식물나라', '처음', '어용']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,다른 선패치들에 비해서 가성비가 좋아서 부담없이 쓰기 좋아요,"['복합성', '봄웜톤', '각질', '다크서클']",식물나라,sunpatch,"['가성비', '좋아서', '부담', '쓰기 좋아요']",5,1,0
6,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,좋아요 재구매 의사 있습니다세일 안하면 구매 의사는 없음 ㅎㅎ,"['건성', '쿨톤', '다크서클', '미백']",식물나라,sunpatch,"['재구매', '의사', '의사']",4,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,좋아요 재구매 의사 있습니다세일 안하면 구매 의사는 없음 ㅎㅎ,"['건성', '쿨톤', '다크서클', '미백']",식물나라,sunpatch,"['재구매', '의사', '의사']",4,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,좋아요 재구매 의사 있습니다세일 안하면 구매 의사는 없음 ㅎㅎ,"['건성', '쿨톤', '다크서클', '미백']",식물나라,sunpatch,"['재구매', '의사', '의사']",4,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,좋아요 재구매 의사 있습니다세일 안하면 구매 의사는 없음 ㅎㅎ,"['건성', '쿨톤', '다크서클', '미백']",식물나라,sunpatch,"['재구매', '의사', '의사']",4,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,좋아요 재구매 의사 있습니다세일 안하면 구매 의사는 없음 ㅎㅎ,"['건성', '쿨톤', '다크서클', '미백']",식물나라,sunpatch,"['재구매', '의사', '의사']",5,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,좋아요 재구매 의사 있습니다세일 안하면 구매 의사는 없음 ㅎㅎ,"['건성', '쿨톤', '다크서클', '미백']",식물나라,sunpatch,"['재구매', '의사', '의사']",4,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,"올리브영들어가서 PB라 잴싸서 샀어요. ㅎㅎㅎ저렴이라 설명은 상세하지않았고, 첨붙였는데 넘 튀고 넘커서 좀수치스러웠으나,자전거타는데 잘붙어있고 자외선차단되니 목적은 달성입니다. 두꺼운게 좀별로였으나, 가성비 좋아요. 수량도 많아요.",[],식물나라,sunpatch,"['올리브', '설명', '커서', '수치', '자전거', '자외선', '차단', '목', '달성', '가성비', '수량']",5,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 4점,,선패치 이거 제가 안 쓰고 다른 사람 선물해준 거라 잘 모르겠어요,"['지성', '겨울쿨톤']",식물나라,sunpatch,"['제가', '사람', '선물']",4,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 2점,,ㅎㅎ.. 사이즈가 넘커서 웃으면 바로 떨어짐.. 접착력 무슨일,"['건성', '웜톤', '민감성', '탄력']",식물나라,sunpatch,"['사이즈', '커서', '접착력']",2,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,라운드나 등산 시 필수템 ! 좋아여 ! 접착력도 좋고 강추 ! 재구매각,[],식물나라,sunpatch,"['라운드', '등산', '필수템', '접착력', '강추', '재구매']",5,1,0
7,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,캠핑 야외운동시 사용 중이예요 자외선이 무섭지 않아요피부진정에 도움됩니다,[],식물나라,sunpatch,"['캠핑', '야외', '운동', '자외선', '피부', '진정', '도움']",5,1,0
8,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,붙이기도 편하고 시원하면서도 잘 붙어 있어서 너무 좋습니다.,[],식물나라,sunpatch,[],5,1,0
8,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,예전에써봤다가 최근에다시 써보게 되었네요 비싸지만만족해요 용량에 작아서 금방써버릴거같아요,[],식물나라,sunpatch,"['예전', '최근', '만족', '용량']",5,1,0
8,[초특가]식물나라 UV차단 아웃도어 선패치(2eaX5sets),5점만점에 5점,,어떤지 한번 써보려고 구매했는데생각보다 넓직하네요2개씩 세트로 붙어있어서 용이,[],식물나라,sunpatch,"['생각', '세트']",5,1,0
